circuitId,latitude,longitude,name,fullName,previousNames,type,direction,placeName,countryId,length,turns,totalRacesHeld
adelaide,-34.927222,138.617222,Adelaide,Adelaide Street Circuit,,STREET,CLOCKWISE,Adelaide,australia,3.78,16,11
aida,34.915,134.221111,Aida,Okayama International Circuit,TI Circuit Aida,RACE,CLOCKWISE,Aida,japan,3.703,13,2
ain-diab,33.578611,-7.6875,Ain-Diab,Ain-Diab Circuit,,ROAD,CLOCKWISE,Casablanca,morocco,7.618,18,1
aintree,53.476944,-2.940556,Aintree,Aintree Motor Racing Circuit,,ROAD,CLOCKWISE,Aintree,united-kingdom,4.828,8,5
anderstorp,57.264167,13.601389,Anderstorp Raceway,Anderstorp Raceway,Scandinavian Raceway,RACE,CLOCKWISE,Anderstorp,sweden,4.031,8,6
austin,30.132778,-97.641111,Americas,Circuit of the Americas,,RACE,ANTI_CLOCKWISE,Austin,united-states-of-america,5.513,20,12
avus,52.480556,13.251389,AVUS,AVUS,,ROAD,ANTI_CLOCKWISE,Berlin,germany,8.3,4,1
bahrain,26.0325,50.510556,Bahrain,Bahrain International Circuit,,RACE,CLOCKWISE,Sakhir,bahrain,5.412,15,21
baku,40.3725,49.853333,Baku,Baku City Circuit,,STREET,ANTI_CLOCKWISE,Baku,azerbaijan,6.003,20,8
brands-hatch,51.356667,0.2625,Brands Hatch,Brands Hatch,,RACE,CLOCKWISE,Fawkham,united-kingdom,4.207,9,14
bremgarten,46.95,7.410833,Bremgarten,Circuit Bremgarten,,ROAD,CLOCKWISE,Bern,switzerland,7.28,13,5
buddh,28.350556,77.535,Buddh,Buddh International Circuit,,RACE,CLOCKWISE,Greater Noida,india,5.125,16,3
buenos-aires,-34.694272,-58.459347,Juan y Oscar Gálvez,Autódromo Juan y Oscar Gálvez,Autódromo 17 de Octubre;Autódromo Municipal Ciudad de Buenos Aires;Autódromo Municipal del Parque Almirante Brown de la Ciudad de Buenos Aires;Autódromo Oscar Alfredo Gálvez,RACE,CLOCKWISE,Buenos Aires,argentina,4.259,19,20
bugatti,47.937694,0.225611,Bugatti,Bugatti Circuit,,RACE,CLOCKWISE,Le Mans,france,4.185,14,1
caesars-palace,36.116944,-115.175,Caesars Palace,Caesars Palace,,STREET,ANTI_CLOCKWISE,Las Vegas,united-states-of-america,3.65,14,2
catalunya,41.57,2.261111,Catalunya,Circuit de Barcelona-Catalunya,,RACE,CLOCKWISE,Montmeló,spain,4.657,14,34
clermont-ferrand,45.747222,3.038889,Charade,Charade Circuit,,ROAD,CLOCKWISE,Clermont-Ferrand,france,8.055,48,4
dallas,32.781944,-96.765556,Fair Park,Fair Park,,STREET,ANTI_CLOCKWISE,Dallas,united-states-of-america,3.901,23,1
detroit,42.32975,-83.040111,Detroit,Detroit Street Circuit,,STREET,ANTI_CLOCKWISE,Detroit,united-states-of-america,4.023,22,7
dijon,47.3625,4.899167,Dijon-Prenois,Dijon-Prenois,,RACE,CLOCKWISE,Dijon,france,3.801,12,6
donington,52.829806,-1.379556,Donington Park,Donington Park,,RACE,CLOCKWISE,Leicestershire,united-kingdom,4.023,12,1
east-london,-33.048611,27.873611,Prince George,Prince George Circuit,,RACE,CLOCKWISE,East London,south-africa,3.92,9,3
estoril,38.750833,-9.394167,Estoril,Autódromo do Estoril,,RACE,CLOCKWISE,Estoril,portugal,4.36,13,13
fuji,35.371667,138.926667,Fuji,Fuji Speedway,,RACE,CLOCKWISE,Oyama,japan,4.563,16,4
hockenheimring,49.327778,8.565833,Hockenheimring,Hockenheimring,,RACE,CLOCKWISE,Hockenheim,germany,4.574,17,37
hungaroring,47.582222,19.251111,Hungaroring,Hungaroring,,RACE,CLOCKWISE,Budapest,hungary,4.381,14,39
imola,44.341111,11.713333,Enzo e Dino Ferrari,Autodromo Internazionale Enzo e Dino Ferrari,Autodromo Dino Ferrari,RACE,ANTI_CLOCKWISE,Imola,italy,4.909,19,31
indianapolis,39.798333,-86.232778,Indianapolis,Indianapolis Motor Speedway,,RACE,CLOCKWISE,Indianapolis,united-states-of-america,4.192,13,19
interlagos,-23.701111,-46.697222,José Carlos Pace,Autódromo José Carlos Pace,Interlagos,RACE,ANTI_CLOCKWISE,São Paulo,brazil,4.309,15,41
istanbul,40.951667,29.405,Istanbul Park,Istanbul Park,Istanbul Otodrom,RACE,ANTI_CLOCKWISE,Istanbul,turkey,5.338,14,9
jacarepagua,-22.975556,-43.395,Nelson Piquet,Autódromo Internacional Nelson Piquet,Jacarepaguá,RACE,ANTI_CLOCKWISE,Rio de Janeiro,brazil,5.031,11,10
jarama,40.617111,-3.585583,Jarama,Circuito del Jarama,Circuito Permanente del Jarama,RACE,CLOCKWISE,Madrid,spain,3.314,14,9
jeddah,21.543333,39.172778,Jeddah,Jeddah Corniche Circuit,,STREET,ANTI_CLOCKWISE,Jeddah,saudi-arabia,6.174,27,4
jerez,36.708333,-6.034167,Jerez,Circuito de Jerez,Circuito Permanente de Jerez,RACE,CLOCKWISE,Jerez de la Frontera,spain,4.428,15,7
kyalami,-25.998611,28.068889,Kyalami,Kyalami Racing Circuit,,RACE,ANTI_CLOCKWISE,Midrand,south-africa,4.261,13,20
las-vegas,36.175,-115.136389,Las Vegas,Las Vegas Street Circuit,,STREET,ANTI_CLOCKWISE,Las Vegas,united-states-of-america,6.201,17,2
long-beach,33.766389,-118.192778,Long Beach,Long Beach,,STREET,CLOCKWISE,Long Beach,united-states-of-america,3.275,18,8
