raceId,circuitId,year,round,date,time,grandPrixId,officialName,qualifyingFormat,sprintQualifyingFormat,circuitType,direction,courseLength,turns,laps,distance,scheduledLaps,scheduledDistance,driversChampionshipDecider,constructorsChampionshipDecider,preQualifyingDate,preQualifyingTime,freePractice1Date,freePractice1Time,freePractice2Date,freePractice2Time,freePractice3Date,freePractice3Time,freePractice4Date,freePractice4Time,qualifying1Date,qualifying1Time,qualifying2Date,qualifying2Time,qualifyingDate,qualifyingTime,sprintQualifyingDate,sprintQualifyingTime,sprintRaceDate,sprintRaceTime,warmingUpDate,warmingUpTime
1,silverstone,1950,1,1950-05-13,,great-britain,1950 RAC British Grand Prix,TWO_SESSION,,RACE,CLOCKWISE,4.649,8,70,325.43,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
2,monaco,1950,2,1950-05-21,,monaco,Grand Prix de Monaco 1950,TWO_SESSION,,STREET,CLOCKWISE,3.18,14,100,318,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
3,indianapolis,1950,3,1950-05-30,,indianapolis,1950 Indianapolis 500,FOUR_LAPS,,RACE,CLOCKWISE,4.023,4,138,555.224,200,804.672,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
4,bremgarten,1950,4,1950-06-04,,switzerland,Grosser Preis der Schweiz 1950,TWO_SESSION,,ROAD,CLOCKWISE,7.28,13,42,305.76,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
5,spa-francorchamps,1950,5,1950-06-18,,belgium,1950 Belgian Grand Prix,TWO_SESSION,,ROAD,CLOCKWISE,14.12,21,35,494.2,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
6,reims,1950,6,1950-07-02,,france,Grand Prix de France 1950,TWO_SESSION,,ROAD,CLOCKWISE,7.815,5,64,500.16,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
7,monza,1950,7,1950-09-03,,italy,Gran Premio d'Italia 1950,TWO_SESSION,,RACE,CLOCKWISE,6.3,5,80,504,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,
8,bremgarten,1951,1,1951-05-27,,switzerland,Grosser Preis der Schweiz 1951,TWO_SESSION,,ROAD,CLOCKWISE,7.28,13,42,305.76,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
9,indianapolis,1951,2,1951-05-30,,indianapolis,1951 Indianapolis 500,FOUR_LAPS,,RACE,CLOCKWISE,4.023,4,200,804.672,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
10,spa-francorchamps,1951,3,1951-06-17,,belgium,1951 Belgian Grand Prix,TWO_SESSION,,ROAD,CLOCKWISE,14.12,21,36,508.32,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
